structure,nums,freq
L1D1S1L1D5S1,1,0.000000155583809575
L10D2L2D1,1,0.000000155583809575
L1D2L10D4,1,0.000000155583809575
D4S1L3D2,1,0.000000155583809575
L2D2L1D7L1,1,0.000000155583809575
D8L1S1L1D1,1,0.000000155583809575
L5S1L1S1D2,1,0.000000155583809575
S1D2S1L1D7,1,0.000000155583809575
D1L1D2L1D1L4D2,1,0.000000155583809575
L8D7S5,1,0.000000155583809575
L4S1L3D1L2S1,1,0.000000155583809575
L3S1D1L1S1L2S1L3,1,0.000000155583809575
L4D2S1L2D3,1,0.000000155583809575
L4S1L3S1L1,1,0.000000155583809575
L1D2L2D2L1D1L2D3,1,0.000000155583809575
D1S1D1L3D1S1,1,0.000000155583809575
D2L5D2L7,1,0.000000155583809575
L2S1L3D6S1,1,0.000000155583809575
L7D2S1D4S1D2,1,0.000000155583809575
L5D6L2S1,1,0.000000155583809575
D3S3D3L4,1,0.000000155583809575
L1S1D1L2S1L5,1,0.000000155583809575
D2L3D4L2D2S1,1,0.000000155583809575
L3D2L1S1D1,1,0.000000155583809575
D4L4D2S2D4,1,0.000000155583809575
D1S1D1S1L3S3,1,0.000000155583809575
L4S1L4D1L2,1,0.000000155583809575
L2S1L3S1L3S1L5,1,0.000000155583809575
L3S3D1S1D2,1,0.000000155583809575
D7L1D6L2,1,0.000000155583809575
D7S1L3S1D1,1,0.000000155583809575
D2L1D2L1D1L1D1L1D1L1D2,1,0.000000155583809575
L3D2L3D2L1D3,1,0.000000155583809575
S2L3,1,0.000000155583809575
L3S1L2D1L3,1,0.000000155583809575
D1L2D1L1D1L3D1L2,1,0.000000155583809575
L2D1S1L2D7,1,0.000000155583809575
D5L7S3,1,0.000000155583809575
L1D5L4D4L1,1,0.000000155583809575
L8D1S1L6,1,0.000000155583809575
S1L5D1S4L1D1L2D1,1,0.000000155583809575
L13D1L5,1,0.000000155583809575
L9D1L1D1L2D1L3D1L1,1,0.000000155583809575
D1L3S1L4S1D1,1,0.000000155583809575
L4D4S2L5,1,0.000000155583809575
D1L4D4S2,1,0.000000155583809575
L2D1L3D1L3D1L4,1,0.000000155583809575
L2D1L2D1L2S1L5,1,0.000000155583809575
L3D2L2D1S1D1,1,0.000000155583809575
L3S2L1D1L2,1,0.000000155583809575
L5S1D4S1D3,1,0.000000155583809575
D1L1D1L1D1L1D1L3D3,1,0.000000155583809575
L2D3S1L6D4,1,0.000000155583809575
L9D5L1S1,1,0.000000155583809575
L5D1L7S1,1,0.000000155583809575
L4D1S2L7,1,0.000000155583809575
L3S7D7,1,0.000000155583809575
L1D14L2,1,0.000000155583809575
L6D1L1D2L1D1L1D1L1,1,0.000000155583809575
L3S1D6L1D4,1,0.000000155583809575
L7S1L1S1L3,1,0.000000155583809575
L2S1L2S1D4S1,1,0.000000155583809575
L5D1L1D2L5,1,0.000000155583809575
L5S2L5D3,1,0.000000155583809575
S2D2L2D3,1,0.000000155583809575
D3S4D1,1,0.000000155583809575
L5D1L2D1L2D1L3,1,0.000000155583809575
L3S1L2S1L2S1L4,1,0.000000155583809575
D3L3D1L4D1,1,0.000000155583809575
L1D1L3D1L7D1L6,1,0.000000155583809575
L1D4L1D1S4,1,0.000000155583809575
L1S1D2L1D1L2S2,1,0.000000155583809575
L8D3S1D6,1,0.000000155583809575
L1D1L3D1L3D1L3D1L2,1,0.000000155583809575
L4D1L3D1L2D1L1,1,0.000000155583809575
L1D6L1D4L1D2,1,0.000000155583809575
L2D1L2D1S3,1,0.000000155583809575
L3S1L2S1L2S1,1,0.000000155583809575
L2S1D4S1D3,1,0.000000155583809575
L5D1L2D1L5,1,0.000000155583809575
D5S1D4L4,1,0.000000155583809575
L11S1D1L3,1,0.000000155583809575
S1D5L1D6,1,0.000000155583809575
D1L6D1L5,1,0.000000155583809575
L3D4L2D4L2D1,1,0.000000155583809575
L7S1L1S4D1,1,0.000000155583809575
S1L1S1L1S1L2D1,1,0.000000155583809575
L2S1L4S1L3D3L3D2,1,0.000000155583809575
L1S1L2S1L2S1L1,1,0.000000155583809575
L2S1L2S1L2S1D4S1,1,0.000000155583809575
L1D1L2D2L3D1L2,1,0.000000155583809575
L7D2L2D2L4,1,0.000000155583809575
L8S1L3D1S1D1L1,1,0.000000155583809575
D1L2D3L1D1L5,1,0.000000155583809575
D3L1D4L1D1L2,1,0.000000155583809575
L2D3L2D3L4D1,1,0.000000155583809575
S1L4D1L1D2,1,0.000000155583809575
L3D3L2S1L3,1,0.000000155583809575
D5L5S1D1,1,0.000000155583809575
D1L1D1S1D2L1D1S3L1S1L1,1,0.000000155583809575
L3D1L1D3S2L2D1,1,0.000000155583809575
L4D1L4D1L4D1L4,1,0.000000155583809575
L4D3L7S1,1,0.000000155583809575
L4D1L1D2L2S2,1,0.000000155583809575
L1D1L1D1L1D1L1S1L4,1,0.000000155583809575
L7S2D3S4,1,0.000000155583809575
D3L1S1L1S1L1S1,1,0.000000155583809575
L3D1L9D1L1,1,0.000000155583809575
L2S1D1L4D2,1,0.000000155583809575
D1L4S1L6S1L2,1,0.000000155583809575
D6L3D2L1D1,1,0.000000155583809575
S2L7D3S2,1,0.000000155583809575
L3D2L1S1L3,1,0.000000155583809575
L6D7S1L4,1,0.000000155583809575
S3L5S3D2,1,0.000000155583809575
L4D3L2S3,1,0.000000155583809575
L1S1L4S1L5D4,1,0.000000155583809575
D2L1D2L1D9,1,0.000000155583809575
L4S1L3S1L1D3,1,0.000000155583809575
L1D2L7D6,1,0.000000155583809575
L3D1L1D1L1D1L1D1L1D2,1,0.000000155583809575
L1D1L1D1L4D2L3D1L4D1,1,0.000000155583809575
D1L6D2L5D1,1,0.000000155583809575
L5D2L5D1,1,0.000000155583809575
D1L1D1L1D1L1D4L1,1,0.000000155583809575
L2D1L9D1L3D1L2,1,0.000000155583809575
L1D3S2D2S2,1,0.000000155583809575
D2L1D2S1L3S1L3,1,0.000000155583809575
D3S1L2S1D4,1,0.000000155583809575
L2D4L4D2L2D2,1,0.000000155583809575
D4L4D6S2,1,0.000000155583809575
L4D4L3D3L2,1,0.000000155583809575
D7L3D2L1,1,0.000000155583809575
D4L3D4L3D2L1,1,0.000000155583809575
L15D4S1,1,0.000000155583809575
D1L1D5L1D2,1,0.000000155583809575
L2D2L1D3S1,1,0.000000155583809575
L1D4L9S1,1,0.000000155583809575
L7D7L6,1,0.000000155583809575
D1L1D1L1D3L1D1L1D3L1D1,1,0.000000155583809575
L1D1L1D2L2D1L1D1L2,1,0.000000155583809575
D1L1S1D5L3,1,0.000000155583809575
L5S1L2D1S2,1,0.000000155583809575
D2L7S3,1,0.000000155583809575
L2S2D3L1,1,0.000000155583809575
L3S2D1S2L3S3,1,0.000000155583809575
L1S1L2S1L3S1L4S3,1,0.000000155583809575
D4L6D4L1,1,0.000000155583809575
D1S1D4S1D3L4,1,0.000000155583809575
L6S1L5S1,1,0.000000155583809575
L7S1D3S1D1L3,1,0.000000155583809575
L5D5S6,1,0.000000155583809575
L3D8L1S1L2,1,0.000000155583809575
L6S1L5S1L5,1,0.000000155583809575
L3D2L2S1L1S1L1D1,1,0.000000155583809575
L1D1S1L1D1S1,1,0.000000155583809575
D2S1D1L1S1D2S1D2S1L2S1D2S1D2,1,0.000000155583809575
L2D1L2D7L3,1,0.000000155583809575
D1S1D1S1D1S1D2S1L3,1,0.000000155583809575
L3D1L2D1L6,1,0.000000155583809575
D2L1D3L2D2,1,0.000000155583809575
L3D1L1D3L5,1,0.000000155583809575
L4S1D6S1D3S1L3,1,0.000000155583809575
L3D9L1D3,1,0.000000155583809575
L6S1L4S1D2S1,1,0.000000155583809575
D6L1D7S1,1,0.000000155583809575
L1D2S1D2S1D2S1L1,1,0.000000155583809575
D3L8S1L5,1,0.000000155583809575
D3L1D5L1D2L1,1,0.000000155583809575
L1S1L2D1L5,1,0.000000155583809575
L1S1L1D1L1D1L1D1L1S1,1,0.000000155583809575
L4D1S1L2D4,1,0.000000155583809575
L1S1L1S1D4L2,1,0.000000155583809575
D4S1D2S1L5,1,0.000000155583809575
S1L2D1L2D1L4,1,0.000000155583809575
L5D2L3D5,1,0.000000155583809575
L9S1L1D4,1,0.000000155583809575
L2D2L2D6S1,1,0.000000155583809575
D3L3D2L1D1L1,1,0.000000155583809575
D1L1D2L2D2L1D3,1,0.000000155583809575
S2L3D3S3,1,0.000000155583809575
L3S1L4S1D2S1L3S1,1,0.000000155583809575
L9D1L7D1L1,1,0.000000155583809575
L5D1S1L1D1L4,1,0.000000155583809575
L4D6L2D1,1,0.000000155583809575
L4S1L4D11,1,0.000000155583809575
L7D2L2D1L2,1,0.000000155583809575
D3S1D3L7,1,0.000000155583809575
L6S1L4D7L2,1,0.000000155583809575
S2L7S2D4,1,0.000000155583809575
