mai,93,"Mai:9,MAI:2,mAi:1,"
wan,88,"Wan:6,WAN:3,"
run,86,"Run:5,ruN:1,RUN:1,"
hou,85,"Hou:6,"
dun,84,"Dun:7,dUN:1,DuN:1,DUN:1,"
fan,83,"Fan:2,FAN:1,"
ei,82,"Ei:4,eI:1,EI:1,"
mou,80,"Mou:1,MOU:1,"
ou,79,"Ou:5,oU:1,OU:1,"
ling,79,"Ling:3,linG:1,LING:1,"
shu,77,"Shu:1,"
men,77,"mEn:2,meN:1,mEN:1,MEN:1,"
jun,76,"juN:1,Jun:1,"
wu,71,"Wu:6,WU:4,wU:2,"
pin,70,"Pin:2,PIN:1,"
ting,67,"TING:1,"
yang,66,"Yang:1,"
ning,66
lei,66,"Lei:3,LEi:1,"
yi,64,"YI:5,Yi:1,"
mei,60
zen,58,"Zen:4,ZeN:3,zEn:1,"
sen,58
tang,57,"Tang:2,TANG:1,"
tai,56,"Tai:4,TaI:1,"
ang,55,"Ang:2,ANG:1,"
pai,54,"Pai:4,PAI:1,"
nin,52,"NIN:2,"
nai,52,"Nai:2,NAI:1,"
mang,50
dang,50,"DANG:2,Dang:1,DaNg:1,"
bing,50,"Bing:1,BING:1,"
bin,49,"Bin:3,"
long,48,"Long:2,"
zan,46,"Zan:2,ZaN:2,ZAN:2,"
shua,46,"Shua:1,"
chen,46,"Chen:1,"
ao,46,"Ao:1,AO:1,"
ming,45,"Ming:1,"
bie,45
wen,44,"Wen:1,WEn:1,"
hai,44,"Hai:1,"
kun,43,"KUN:1,"
jin,43,"Jin:1,"
gun,43,"GUN:1,"
rou,42,"Rou:1,ROU:1,"
gui,41
lve,40
hen,40,"Hen:2,"
dian,40,"Dian:2,DIAN:2,"
bang,39,"Bang:1,"
wang,38,"Wang:1,"
hua,38,"Hua:1,"
dong,38
gua,37,"GUA:1,"
cai,36,"Cai:2,"
bian,36,"Bian:3,"
xia,35,"Xia:2,"
mie,34
zai,33
yin,33,"Yin:2,YIN:1,"
jing,33,"Jing:1,"
juan,32,"Juan:2,"
dai,32
pian,31
tou,30,"Tou:2,TOu:1,"
lang,30,"lanG:1,Lang:1,"
tun,29,"TuN:1,"
shai,29
ping,29
mian,29
hong,29,"Hong:1,"
bai,29,"Bai:2,BAI:1,"
xu,28,"Xu:5,xU:1,XU:1,"
hei,28,"Hei:1,HEi:1,"
wai,27,"Wai:1,"
sou,27,"Sou:2,SOU:1,"
wei,26,"Wei:1,"
tian,26,"Tian:1,"
shei,26,"sHei:1,Shei:1,SHEI:1,"
pao,26,"PAO:3,"
cun,26,"Cun:1,CUN:1,"
dou,25,"Dou:1,"
ying,24,"Ying:1,"
xiao,24,"Xiao:2,"
nao,24,"Nao:2,NAO:1,"
tong,23,"Tong:1,"
hun,23
fen,23,"fEn:1,"
chai,23
song,22,"sonG:1,"
quan,22,"Quan:1,"
kong,22
jia,22
qi,21,"Qi:1,"
jie,21,"jiE:1,JIE:1,"
gai,21,"Gai:2,"
sui,20,"Sui:1,"
shang,20,"Shang:4,"
shen,19,"Shen:2,"
nou,19,"Nou:2,"
sang,18,"Sang:2,SANG:1,"
xing,17,"XING:1,"
teng,17,"tEng:1,"
hao,17
zhang,16
fang,16,"Fang:1,"
shun,15,"Shun:1,"
liu,15,"LiU:1,"
gao,15
cong,15
chun,15
shao,14
nen,14,"nEN:1,"
lun,14,"Lun:1,"
hang,14,"Hang:1,"
chou,14,"cHou:1,"
kao,13
hui,13,"Hui:1,"
bao,13
zha,12
nang,12
mao,12,"Mao:1,MaO:1,"
chang,12,"Chang:1,"
cen,12
yao,11,"YaO:1,"
nei,11,"NEI:1,"
gong,11
bei,11
xin,10,"Xin:1,"
rao,10
peng,10,"pEng:1,"
kou,10
fei,10,"Fei:1,"
cao,10
rui,9,"ruI:1,"
leng,9,"lenG:1,"
gei,9,"Gei:1,"
gang,9,"ganG:1,Gang:1,"
feng,9
cou,9,"Cou:1,COU:1,"
chong,9
chao,9
zou,8
zhu,8,"Zhu:1,"
zhi,8
yun,8
tao,8
kang,8
huang,8,"Huang:1,"
deng,8
dei,8,"DEI:1,"
nian,7,"NIAN:1,"
lao,7
dao,7,"Dao:1,"
cheng,7
yuan,6
yong,6
xian,6
suo,6
qiu,6
qing,6
qin,6
pei,6
nve,6
duo,6
zhen,5,"ZHEN:2,"
zhao,5
yue,5
xue,5
xiu,5
tuan,5,"Tuan:2,"
shui,5
shou,5
niu,5
meng,5,"Meng:1,"
luo,5
liao,5
